model,arch,layers,n_state,n_attn,kv_per_token_B,state_per_seq_B,L_star_tokens,ckpt_over_kv_x,batch,ctx
Qwen_Qwen3-Next-80B-A3B-Instruct,qwen3_next,48,36,12,24576,39518208,1608,100.500,1,4096
Qwen_Qwen3-Next-80B-A3B-Instruct,qwen3_next,48,36,12,24576,39518208,1608,100.500,1,32768
Qwen_Qwen3-Next-80B-A3B-Instruct,qwen3_next,48,36,12,24576,39518208,1608,100.500,1,131072
Qwen_Qwen3-Next-80B-A3B-Instruct,qwen3_next,48,36,12,24576,39518208,1608,100.500,8,4096
Qwen_Qwen3-Next-80B-A3B-Instruct,qwen3_next,48,36,12,24576,39518208,1608,100.500,8,32768
Qwen_Qwen3-Next-80B-A3B-Instruct,qwen3_next,48,36,12,24576,39518208,1608,100.500,8,131072
Qwen_Qwen3-Next-80B-A3B-Instruct,qwen3_next,48,36,12,24576,39518208,1608,100.500,32,4096
Qwen_Qwen3-Next-80B-A3B-Instruct,qwen3_next,48,36,12,24576,39518208,1608,100.500,32,32768
Qwen_Qwen3-Next-80B-A3B-Instruct,qwen3_next,48,36,12,24576,39518208,1608,100.500,32,131072
ibm-fms_Bamba-9B,ERROR,,,,,,,,
nvidia_Nemotron-H-8B-Base-8K,nemotron_h,52,24,4,16384,51806208,3162,197.625,1,4096
nvidia_Nemotron-H-8B-Base-8K,nemotron_h,52,24,4,16384,51806208,3162,197.625,1,32768
nvidia_Nemotron-H-8B-Base-8K,nemotron_h,52,24,4,16384,51806208,3162,197.625,1,131072
nvidia_Nemotron-H-8B-Base-8K,nemotron_h,52,24,4,16384,51806208,3162,197.625,8,4096
nvidia_Nemotron-H-8B-Base-8K,nemotron_h,52,24,4,16384,51806208,3162,197.625,8,32768
nvidia_Nemotron-H-8B-Base-8K,nemotron_h,52,24,4,16384,51806208,3162,197.625,8,131072
nvidia_Nemotron-H-8B-Base-8K,nemotron_h,52,24,4,16384,51806208,3162,197.625,32,4096
nvidia_Nemotron-H-8B-Base-8K,nemotron_h,52,24,4,16384,51806208,3162,197.625,32,32768
nvidia_Nemotron-H-8B-Base-8K,nemotron_h,52,24,4,16384,51806208,3162,197.625,32,131072
state-spaces_mamba2-2.7b,mamba2(纯SSM),64,64,0,0,1966080,inf,inf,1,4096
state-spaces_mamba2-2.7b,mamba2(纯SSM),64,64,0,0,1966080,inf,inf,1,32768
state-spaces_mamba2-2.7b,mamba2(纯SSM),64,64,0,0,1966080,inf,inf,1,131072
state-spaces_mamba2-2.7b,mamba2(纯SSM),64,64,0,0,1966080,inf,inf,8,4096
state-spaces_mamba2-2.7b,mamba2(纯SSM),64,64,0,0,1966080,inf,inf,8,32768
state-spaces_mamba2-2.7b,mamba2(纯SSM),64,64,0,0,1966080,inf,inf,8,131072
state-spaces_mamba2-2.7b,mamba2(纯SSM),64,64,0,0,1966080,inf,inf,32,4096
state-spaces_mamba2-2.7b,mamba2(纯SSM),64,64,0,0,1966080,inf,inf,32,32768
state-spaces_mamba2-2.7b,mamba2(纯SSM),64,64,0,0,1966080,inf,inf,32,131072
tiiuae_Falcon-H1-7B-Instruct,falcon_h1,44,44,44,45056,70152192,1557,97.312,1,4096
tiiuae_Falcon-H1-7B-Instruct,falcon_h1,44,44,44,45056,70152192,1557,97.312,1,32768
tiiuae_Falcon-H1-7B-Instruct,falcon_h1,44,44,44,45056,70152192,1557,97.312,1,131072
tiiuae_Falcon-H1-7B-Instruct,falcon_h1,44,44,44,45056,70152192,1557,97.312,8,4096
tiiuae_Falcon-H1-7B-Instruct,falcon_h1,44,44,44,45056,70152192,1557,97.312,8,32768
tiiuae_Falcon-H1-7B-Instruct,falcon_h1,44,44,44,45056,70152192,1557,97.312,8,131072
tiiuae_Falcon-H1-7B-Instruct,falcon_h1,44,44,44,45056,70152192,1557,97.312,32,4096
tiiuae_Falcon-H1-7B-Instruct,falcon_h1,44,44,44,45056,70152192,1557,97.312,32,32768
tiiuae_Falcon-H1-7B-Instruct,falcon_h1,44,44,44,45056,70152192,1557,97.312,32,131072
