ctx,bs,gamma,depth,tok_s,accept_len,step_ms,itl_ms,tpot_ms,d_accept_pct,d_step_pct,d_tok_pct,accept_share_pct,preempt,kv_cap,n
4096,1,3,1,90.3,1.326,14.081,14.081,10.618,None,None,None,None,0.0,242403,2
4096,1,3,3,103.3,1.686,15.667,15.667,9.268,27.1,11.3,14.4,180.0,0.0,233541,2
4096,1,3,5,142.2,2.466,16.31,16.31,6.616,86.0,15.8,57.5,131.0,0.0,203980,2
4096,1,7,1,92.9,1.322,13.619,13.619,10.303,None,None,None,None,0.0,242249,2
4096,1,7,3,112.6,1.734,14.724,14.724,8.476,31.2,8.1,21.1,140.4,0.0,233541,2
4096,1,7,5,163.2,2.82,15.944,15.944,5.671,113.2,17.1,75.6,126.3,0.0,203980,2
4096,8,3,1,588.9,1.343,16.671,16.671,12.431,None,None,None,None,0.0,242403,2
4096,8,3,3,719.0,1.729,17.186,17.186,9.997,28.7,3.1,22.1,113.7,0.0,233541,2
4096,8,3,5,986.6,2.51,18.01,18.01,7.233,86.8,8.0,67.5,114.1,0.0,203980,2
4096,8,7,1,564.3,1.324,17.027,17.027,12.884,None,None,None,None,0.0,242249,2
4096,8,7,3,749.3,1.773,17.092,17.092,9.682,33.9,0.4,32.8,101.3,0.0,233541,2
4096,8,7,5,1087.0,2.864,17.896,17.896,6.332,116.3,5.1,92.6,106.9,0.0,203980,2
4096,16,3,1,922.5,1.336,19.986,19.986,14.995,None,None,None,None,0.0,242403,2
4096,16,3,3,1142.3,1.717,20.487,20.487,12.001,28.6,2.5,23.8,110.9,0.0,233541,2
4096,16,3,5,1549.9,2.453,21.466,21.466,8.8,83.7,7.4,68.0,113.3,0.0,203980,2
4096,16,7,1,870.8,1.324,20.884,20.884,15.801,None,None,None,None,0.0,242249,2
4096,16,7,3,1138.1,1.743,21.444,21.444,12.379,31.6,2.7,30.7,110.7,0.0,233541,2
4096,16,7,5,1645.1,2.754,22.245,22.245,8.156,108.0,6.5,88.9,109.4,0.0,203980,2
4096,32,3,1,1133.4,1.344,30.752,30.752,22.947,None,None,None,None,0.0,242403,2
4096,32,3,3,1409.3,1.744,31.973,31.973,18.402,29.8,4.0,24.3,117.6,0.0,233541,2
4096,32,3,5,1979.9,2.53,33.128,33.128,13.185,88.3,7.7,74.7,113.3,0.0,203980,2
4096,32,7,1,1081.8,1.34,32.959,32.959,24.691,None,None,None,None,0.0,242249,2
4096,32,7,3,1365.7,1.782,34.073,34.073,19.22,33.0,3.4,26.2,113.2,0.0,233541,2
4096,32,7,5,2000.9,2.829,34.909,34.909,12.48,111.1,5.9,85.0,108.3,0.0,203980,2
